"skill","level","type","order"
"HTML/CSS/JavaScript","Expert","Programming Language",1
"Java","Average","Programming Language",2
"PostgreSQL / MySQL","Advanced","Programming Language",3
"PHP","Average","Programming Language",4
"R / GGPlot","Average","Programming Language",5
"Python","Low-level","Programming Language",6
"C#","Low-level","Programming Language",7
"Objective-C","Low-level","Programming Language",8
"D3","Expert","Framework / Library",9
"Leaflet","Expert","Framework / Library",10
"NodeJS","Advanced","Framework / Library",12
"Mapbox GLJS","Advanced","Framework / Library",13
"Open Layers","Average","Framework / Library",14
"React","Low-level","Framework / Library",15
"ThreeJS","Advanced","Framework / Library",16
"Build Tools / Linter / etc.","Average","Tools",21
"GDAL","Advanced","Tools",17
"QGIS","Advanced","Tools",18
"Adobe Creative Suite","Advanced","Tools",19
"Sketch App","Average","Tools",20
